[2022-03-25 09:59:26.942] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'sessionManager' of type [com.tenero.blog.shiro.MySessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.945] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'cacheManager' of type [org.crazycake.shiro.RedisCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:26.957] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:27.046] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 09:59:27.873] [main] INFO  [PropertySourcedRequestMappingHandlerMapping] - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
[2022-03-25 09:59:28.910] [main] INFO  [HikariDataSource] - HikariPool-1 - Starting...
[2022-03-25 09:59:29.465] [main] INFO  [HikariDataSource] - HikariPool-1 - Start completed.
[2022-03-25 09:59:29.586] [main] INFO  [DocumentationPluginsBootstrapper] - Context refreshed
[2022-03-25 09:59:29.608] [main] INFO  [DocumentationPluginsBootstrapper] - Found 1 custom documentation plugin(s)
[2022-03-25 09:59:29.633] [main] INFO  [ApiListingReferenceScanner] - Scanning for api listing references
[2022-03-25 09:59:29.782] [main] INFO  [BlogAppApplicationTests] - Started BlogAppApplicationTests in 4.809 seconds (JVM running for 6.311)
[2022-03-25 09:59:29.979] [main] INFO  [BlogAppApplicationTests] - 测试上传GitHub
[2022-03-25 09:59:29.980] [main] INFO  [BlogAppApplicationTests] - UUID {} 36bc274c837e407b8c4a83a308cfbe70
[2022-03-25 09:59:30.033] [SpringApplicationShutdownHook] INFO  [HikariDataSource] - HikariPool-1 - Shutdown initiated...
[2022-03-25 09:59:30.205] [SpringApplicationShutdownHook] INFO  [HikariDataSource] - HikariPool-1 - Shutdown completed.
[2022-03-25 10:04:22.223] [main] INFO  [SpringBootTestContextBootstrapper] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tenero.blog.BlogAppApplicationTests], using SpringBootContextLoader
[2022-03-25 10:04:22.230] [main] INFO  [AbstractContextLoader] - Could not detect default resource locations for test class [com.tenero.blog.BlogAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
[2022-03-25 10:04:22.392] [main] INFO  [SpringBootTestContextBootstrapper] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
[2022-03-25 10:04:22.410] [main] INFO  [SpringBootTestContextBootstrapper] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1991f767, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@768ccdc5, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4c6daf0, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@10650953, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@659eef7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@162be91c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2488b073, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1c9f0a20, org.springframework.test.context.event.EventPublishingTestExecutionListener@55787112, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1cd201a8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7db82169, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1992eaf4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@f74e835, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3276732, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3f28bd56]
[2022-03-25 10:04:22.717] [main] INFO  [BlogAppApplicationTests] - Starting BlogAppApplicationTests using Java 1.8.0_45 on zkfy-0022 with PID 11556 (started by zkfy in F:\code\blog\blog-app)
[2022-03-25 10:04:22.719] [main] INFO  [BlogAppApplicationTests] - No active profile set, falling back to default profiles: default
[2022-03-25 10:04:23.581] [main] INFO  [RepositoryConfigurationDelegate] - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-03-25 10:04:23.583] [main] INFO  [RepositoryConfigurationDelegate] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-03-25 10:04:23.606] [main] INFO  [RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
[2022-03-25 10:04:23.852] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'shiroConfig' of type [com.tenero.blog.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$ab6031db] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 10:04:24.050] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-03-25 10:04:24.057] [main] INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker] - Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$db5d7000] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
